Suit_Card_1,Rank_Card_1,Suit_Card_2,Rank_Card_2,Suit_Card_3,Rank_Card_3,Suit_Card_4,Rank_Card_4,Suit_Card_5,Rank_Card_5,Poker_Hand
Spades,Ten,Diamonds,Seven,Hearts,Six,Clubs,Ace,Spades,Nine,Nothing
Hearts,Queen,Clubs,Two,Spades,Ten,Diamonds,Ten,Diamonds,Queen,Two_Pairs
Diamonds,Nine,Diamonds,Four,Hearts,Queen,Hearts,Ace,Spades,Seven,Nothing
Clubs,Six,Hearts,Nine,Hearts,Six,Spades,Eight,Diamonds,Four,One_Pair
Clubs,Ace,Spades,Ten,Spades,Six,Spades,Nine,Hearts,Ace,One_Pair
Diamonds,King,Diamonds,Ace,Spades,Ace,Hearts,Two,Spades,Ten,One_Pair
Diamonds,Six,Spades,Ace,Spades,Six,Diamonds,Seven,Hearts,Three,One_Pair
Spades,King,Hearts,Nine,Diamonds,Four,Spades,Ten,Clubs,Seven,Nothing
Clubs,Six,Hearts,Seven,Clubs,Ten,Clubs,Seven,Clubs,Queen,One_Pair
Spades,Jack,Clubs,Three,Hearts,Jack,Spades,Seven,Diamonds,Four,One_Pair
Diamonds,Queen,Diamonds,Seven,Diamonds,Six,Diamonds,Jack,Hearts,Ten,Nothing
Diamonds,Three,Diamonds,Seven,Spades,Jack,Hearts,Jack,Spades,Four,One_Pair
Diamonds,Four,Diamonds,Ace,Hearts,Three,Diamonds,King,Hearts,Ace,One_Pair
Spades,Nine,Hearts,Eight,Clubs,Two,Hearts,Queen,Clubs,Jack,Nothing
Clubs,Six,Hearts,King,Clubs,Ace,Clubs,Three,Hearts,Seven,Nothing
Hearts,Queen,Hearts,Jack,Diamonds,Jack,Clubs,Four,Clubs,Five,One_Pair
Clubs,Jack,Diamonds,Ten,Diamonds,Queen,Spades,Eight,Spades,King,Nothing
Diamonds,Four,Spades,Ace,Clubs,Ace,Diamonds,Eight,Clubs,Ten,One_Pair
Spades,King,Hearts,Four,Diamonds,King,Diamonds,Eight,Diamonds,Ace,One_Pair
Diamonds,Nine,Spades,Queen,Hearts,Nine,Spades,Four,Hearts,Four,Two_Pairs
Spades,Queen,Clubs,King,Diamonds,Four,Hearts,Six,Clubs,Jack,Nothing
Spades,Five,Clubs,Two,Spades,Four,Clubs,King,Clubs,Eight,Nothing
Hearts,Eight,Diamonds,Nine,Hearts,Nine,Clubs,Eight,Diamonds,Ten,Two_Pairs
Hearts,Jack,Clubs,Four,Hearts,Three,Clubs,Ace,Diamonds,Nine,Nothing
Spades,Jack,Spades,Ten,Clubs,Ace,Diamonds,Four,Diamonds,Five,Nothing
Clubs,Nine,Clubs,Ten,Diamonds,Six,Spades,Four,Spades,Seven,Nothing
Spades,Two,Spades,King,Clubs,Seven,Hearts,Six,Spades,Ten,Nothing
Hearts,Jack,Diamonds,Ace,Diamonds,Queen,Hearts,Seven,Diamonds,Five,Nothing
Spades,Six,Hearts,Ten,Clubs,Seven,Clubs,Six,Clubs,Five,One_Pair
Clubs,Three,Diamonds,Jack,Clubs,Eight,Clubs,King,Hearts,Five,Nothing
Hearts,Jack,Hearts,Six,Clubs,Five,Diamonds,Ten,Hearts,Nine,Nothing
Diamonds,Two,Hearts,Ten,Spades,Seven,Spades,Queen,Spades,Four,Nothing
Diamonds,Ten,Clubs,Queen,Diamonds,Ace,Clubs,Two,Spades,Five,Nothing
Diamonds,Queen,Diamonds,Two,Spades,Eight,Hearts,Two,Spades,Three,One_Pair
Spades,Ace,Hearts,Two,Spades,Jack,Diamonds,Ace,Spades,Two,Two_Pairs
Diamonds,Queen,Spades,Jack,Diamonds,Four,Diamonds,Jack,Hearts,Five,One_Pair
Spades,King,Diamonds,Two,Spades,Three,Hearts,Ace,Hearts,Queen,Nothing
Clubs,Two,Diamonds,Nine,Spades,Four,Diamonds,Eight,Clubs,Nine,One_Pair
Diamonds,Four,Diamonds,Eight,Hearts,Nine,Spades,Ace,Spades,Six,Nothing
Spades,Eight,Clubs,Ten,Hearts,Four,Spades,Six,Diamonds,King,Nothing
Diamonds,Jack,Clubs,Nine,Hearts,Three,Spades,Eight,Spades,Three,One_Pair
Diamonds,Nine,Clubs,Jack,Diamonds,Ten,Clubs,Four,Diamonds,Queen,Nothing
Spades,Four,Hearts,Three,Clubs,Six,Hearts,Four,Hearts,Ten,One_Pair
Spades,King,Diamonds,Two,Hearts,Ten,Hearts,Three,Hearts,Four,Nothing
Hearts,Eight,Spades,Nine,Clubs,King,Diamonds,Five,Clubs,Jack,Nothing
Clubs,King,Clubs,Two,Spades,Six,Diamonds,Six,Spades,Seven,One_Pair
Diamonds,Ace,Spades,Seven,Hearts,Nine,Clubs,Three,Hearts,Four,Nothing
Hearts,Four,Hearts,Eight,Diamonds,Five,Clubs,Four,Spades,Six,One_Pair
Spades,Nine,Hearts,King,Clubs,King,Diamonds,Nine,Diamonds,Four,Two_Pairs
Spades,Six,Hearts,Four,Clubs,Five,Hearts,Nine,Clubs,Six,One_Pair
Clubs,Three,Spades,Five,Clubs,Four,Diamonds,Three,Diamonds,King,One_Pair
Spades,Six,Clubs,Three,Spades,Ace,Diamonds,Jack,Spades,Queen,Nothing
Spades,Queen,Diamonds,King,Hearts,Ace,Diamonds,Ten,Diamonds,Eight,Nothing
Spades,King,Clubs,Two,Hearts,Ace,Hearts,Six,Clubs,Seven,Nothing
Hearts,Ace,Spades,King,Hearts,Jack,Spades,Nine,Clubs,Queen,Nothing
Diamonds,Ace,Hearts,King,Clubs,Ten,Diamonds,Eight,Spades,Nine,Nothing
Hearts,Seven,Hearts,Three,Hearts,Queen,Diamonds,Five,Clubs,Six,Nothing
Hearts,Four,Hearts,Jack,Spades,Three,Clubs,Six,Diamonds,Ten,Nothing
Diamonds,Ten,Hearts,Three,Diamonds,Four,Hearts,Seven,Hearts,Five,Nothing
Hearts,Ten,Clubs,Nine,Hearts,Five,Spades,Seven,Clubs,Jack,Nothing
Spades,Ten,Hearts,Seven,Clubs,King,Clubs,Queen,Diamonds,Nine,Nothing
Clubs,Queen,Spades,Ace,Clubs,Three,Spades,Queen,Spades,Two,One_Pair
Clubs,Two,Clubs,Eight,Clubs,Ten,Diamonds,Two,Spades,Four,One_Pair
Diamonds,King,Spades,Queen,Spades,Ten,Clubs,Five,Clubs,Four,Nothing
Clubs,Ten,Hearts,Seven,Hearts,Ten,Hearts,Queen,Hearts,Ace,One_Pair
Spades,Jack,Spades,Ace,Diamonds,Ace,Hearts,Jack,Clubs,Queen,Two_Pairs
Diamonds,King,Hearts,Jack,Spades,Eight,Clubs,Nine,Spades,Queen,Nothing
Clubs,Jack,Clubs,Six,Hearts,Five,Diamonds,Eight,Spades,Eight,One_Pair
Clubs,Seven,Diamonds,Queen,Diamonds,Seven,Clubs,Jack,Diamonds,Four,One_Pair
Spades,Queen,Hearts,Seven,Diamonds,Two,Clubs,King,Hearts,Ten,Nothing
Diamonds,Five,Diamonds,Jack,Spades,Four,Hearts,Ace,Spades,Five,One_Pair
Diamonds,Four,Clubs,Queen,Diamonds,Ace,Spades,Six,Spades,Ten,Nothing
Spades,Seven,Clubs,King,Diamonds,Queen,Clubs,Ace,Hearts,Jack,Nothing
Diamonds,Six,Spades,Jack,Diamonds,Seven,Spades,Five,Spades,Four,Nothing
Diamonds,Queen,Clubs,Six,Hearts,Six,Diamonds,Four,Diamonds,Ten,One_Pair
Spades,King,Clubs,Ace,Spades,Five,Hearts,Eight,Hearts,Queen,Nothing
Diamonds,Nine,Diamonds,Five,Diamonds,Three,Diamonds,Ten,Clubs,Seven,Nothing
Hearts,Four,Hearts,Six,Diamonds,Five,Diamonds,Seven,Hearts,Seven,One_Pair
Spades,King,Hearts,Ace,Diamonds,Queen,Spades,Seven,Clubs,Six,Nothing
Spades,Two,Hearts,King,Diamonds,Four,Spades,Ace,Spades,Six,Nothing
Hearts,Queen,Diamonds,Ten,Clubs,Five,Spades,Five,Clubs,Seven,One_Pair
Clubs,Queen,Diamonds,Nine,Diamonds,Two,Spades,Nine,Hearts,Five,One_Pair
Clubs,Six,Clubs,Three,Clubs,Four,Hearts,Two,Spades,Ace,Nothing
Diamonds,Jack,Clubs,Nine,Spades,Ten,Hearts,King,Hearts,Nine,One_Pair
Hearts,Seven,Clubs,Two,Clubs,King,Spades,Four,Hearts,Five,Nothing
Clubs,Two,Spades,Seven,Hearts,Three,Clubs,Five,Clubs,Jack,Nothing
Spades,Nine,Diamonds,Nine,Hearts,Six,Spades,King,Hearts,Seven,One_Pair
Diamonds,Ten,Clubs,Eight,Clubs,King,Diamonds,Three,Spades,Five,Nothing
Spades,Four,Hearts,Five,Spades,Queen,Clubs,Ten,Clubs,Five,One_Pair
Diamonds,Seven,Spades,Three,Clubs,Ten,Spades,Six,Clubs,Two,Nothing
Spades,Four,Hearts,Four,Clubs,Two,Hearts,Five,Diamonds,Four,Three_Kind
Diamonds,Nine,Clubs,Jack,Hearts,King,Spades,Jack,Hearts,Three,One_Pair
Spades,Four,Clubs,Ten,Clubs,Three,Spades,Two,Hearts,Eight,Nothing
Diamonds,Ace,Spades,Queen,Spades,Seven,Clubs,Ten,Diamonds,Seven,One_Pair
Diamonds,Jack,Spades,Ace,Diamonds,Three,Hearts,Five,Clubs,Nine,Nothing
Clubs,Seven,Hearts,Five,Spades,Queen,Diamonds,King,Diamonds,Six,Nothing
Diamonds,Six,Clubs,King,Diamonds,Four,Diamonds,Three,Clubs,Three,One_Pair
Spades,Jack,Hearts,Five,Spades,Queen,Hearts,Ten,Spades,Ace,Nothing
Clubs,Jack,Clubs,Five,Hearts,Six,Diamonds,Three,Diamonds,Two,Nothing
Hearts,Five,Hearts,Three,Clubs,Jack,Diamonds,Seven,Diamonds,Eight,Nothing
Diamonds,King,Clubs,Ace,Diamonds,Six,Clubs,Three,Clubs,Five,Nothing
Hearts,Queen,Hearts,Two,Diamonds,Five,Clubs,King,Diamonds,Three,Nothing
Clubs,Five,Hearts,Jack,Diamonds,Eight,Spades,King,Hearts,Eight,One_Pair
Diamonds,Jack,Diamonds,Three,Hearts,King,Clubs,Five,Spades,Three,One_Pair
Hearts,King,Diamonds,Seven,Diamonds,Ace,Clubs,Three,Diamonds,Nine,Nothing
Clubs,Two,Hearts,Three,Hearts,Four,Hearts,Two,Spades,Ten,One_Pair
Hearts,Two,Hearts,Queen,Hearts,Jack,Spades,Ace,Spades,Three,Nothing
Diamonds,Six,Spades,Seven,Hearts,Five,Spades,Four,Diamonds,Eight,Straight
Clubs,King,Clubs,Ace,Hearts,Six,Spades,Two,Clubs,Ten,Nothing
Hearts,Six,Clubs,Nine,Hearts,Three,Spades,Six,Diamonds,Jack,One_Pair
Spades,Ace,Clubs,Queen,Hearts,Eight,Diamonds,Eight,Diamonds,Four,One_Pair
Diamonds,Queen,Spades,Nine,Spades,Ten,Hearts,Ace,Spades,Five,Nothing
Clubs,Five,Clubs,Seven,Clubs,Queen,Diamonds,Three,Hearts,Five,One_Pair
Diamonds,Nine,Diamonds,Seven,Diamonds,Two,Clubs,Queen,Diamonds,Eight,Nothing
Hearts,Eight,Spades,Four,Diamonds,Six,Clubs,Queen,Spades,Jack,Nothing
Diamonds,Five,Diamonds,Ace,Clubs,Queen,Spades,Jack,Clubs,Nine,Nothing
Diamonds,Ace,Clubs,King,Hearts,Nine,Spades,Six,Spades,Ten,Nothing
Hearts,Ace,Spades,Eight,Spades,Three,Clubs,Nine,Spades,Ace,One_Pair
Spades,Nine,Spades,Three,Clubs,Ace,Diamonds,King,Spades,Queen,Nothing
Clubs,Eight,Spades,Four,Diamonds,Jack,Spades,Ace,Diamonds,Five,Nothing
Clubs,Seven,Spades,Ace,Diamonds,Six,Spades,King,Hearts,King,One_Pair
Clubs,Three,Clubs,Ten,Hearts,Ace,Clubs,Eight,Diamonds,Ten,One_Pair
Spades,Three,Spades,Two,Diamonds,Ace,Hearts,Eight,Diamonds,Eight,One_Pair
Diamonds,Three,Hearts,Seven,Clubs,Three,Clubs,Nine,Diamonds,Ten,One_Pair
Diamonds,Seven,Clubs,Jack,Diamonds,Ace,Spades,Eight,Diamonds,Five,Nothing
Clubs,Four,Spades,Five,Clubs,Nine,Clubs,Three,Clubs,Eight,Nothing
Clubs,Four,Clubs,Eight,Clubs,Jack,Diamonds,Queen,Diamonds,Four,One_Pair
Clubs,Three,Diamonds,Five,Clubs,Ten,Clubs,Queen,Diamonds,Six,Nothing
Hearts,Queen,Spades,Eight,Diamonds,Six,Clubs,Ace,Diamonds,Ten,Nothing
Hearts,Nine,Clubs,Queen,Diamonds,Queen,Clubs,Four,Spades,Jack,One_Pair
Clubs,Queen,Clubs,Six,Hearts,Eight,Hearts,Three,Clubs,Four,Nothing
Spades,Two,Diamonds,Jack,Spades,Six,Hearts,Queen,Hearts,Three,Nothing
Diamonds,Ace,Diamonds,Nine,Spades,Two,Diamonds,King,Spades,King,One_Pair
Spades,Three,Clubs,Four,Spades,Nine,Hearts,Eight,Clubs,Six,Nothing
Hearts,King,Diamonds,Eight,Hearts,Two,Spades,Seven,Spades,Eight,One_Pair
Diamonds,Three,Diamonds,Four,Clubs,Nine,Clubs,Three,Spades,Ace,One_Pair
Diamonds,Eight,Clubs,Ten,Hearts,Seven,Spades,Six,Hearts,Three,Nothing
Hearts,Four,Spades,Ace,Diamonds,King,Clubs,Jack,Clubs,Nine,Nothing
Diamonds,Ace,Spades,Ten,Spades,Seven,Spades,Two,Clubs,Ten,One_Pair
Diamonds,Five,Spades,Ten,Spades,Queen,Diamonds,Jack,Hearts,Queen,One_Pair
Diamonds,Ace,Clubs,King,Diamonds,Ten,Spades,Eight,Spades,King,One_Pair
Spades,Queen,Spades,Six,Diamonds,Eight,Diamonds,Six,Hearts,Nine,One_Pair
Hearts,Four,Clubs,Two,Spades,Ace,Diamonds,Two,Diamonds,Jack,One_Pair
Spades,Five,Clubs,King,Spades,Seven,Clubs,Ace,Diamonds,Nine,Nothing
Diamonds,King,Diamonds,Four,Spades,Four,Clubs,Four,Spades,Nine,Three_Kind
Hearts,Three,Spades,Three,Hearts,Four,Hearts,Queen,Spades,Six,One_Pair
Spades,Jack,Clubs,Three,Spades,Five,Diamonds,Jack,Diamonds,Five,Two_Pairs
Diamonds,Ace,Spades,Three,Clubs,Queen,Hearts,Nine,Diamonds,Five,Nothing
Spades,Five,Diamonds,Eight,Clubs,Ten,Clubs,Five,Clubs,Two,One_Pair
Clubs,Eight,Clubs,Five,Diamonds,Ten,Diamonds,Three,Hearts,King,Nothing
Clubs,Five,Hearts,King,Hearts,Three,Diamonds,King,Diamonds,Seven,One_Pair
Diamonds,Three,Diamonds,Ten,Hearts,Three,Hearts,Queen,Clubs,Nine,One_Pair
Diamonds,Ten,Hearts,Jack,Hearts,Seven,Spades,Four,Spades,Six,Nothing
Hearts,Queen,Spades,Jack,Diamonds,Five,Diamonds,Nine,Spades,Ten,Nothing
Hearts,Six,Diamonds,Five,Spades,Four,Clubs,Eight,Clubs,Six,One_Pair
Spades,Eight,Hearts,Two,Hearts,Jack,Spades,King,Clubs,Queen,Nothing
Diamonds,Two,Clubs,Eight,Hearts,Six,Diamonds,Ten,Spades,Three,Nothing
Spades,Ace,Hearts,Ten,Clubs,Ace,Hearts,Jack,Spades,Eight,One_Pair
Clubs,Two,Hearts,Four,Spades,Eight,Clubs,Queen,Diamonds,Two,One_Pair
Diamonds,Four,Hearts,Six,Diamonds,Queen,Hearts,Three,Spades,Ten,Nothing
Spades,Ace,Hearts,Ace,Spades,Five,Diamonds,Six,Hearts,Six,Two_Pairs
Spades,Ten,Diamonds,Six,Spades,Seven,Hearts,Nine,Clubs,Ten,One_Pair
Hearts,King,Spades,Five,Diamonds,Four,Spades,Ten,Diamonds,Three,Nothing
Spades,Nine,Diamonds,Ace,Spades,Seven,Spades,Queen,Hearts,Six,Nothing
Hearts,Six,Clubs,Ten,Spades,Eight,Diamonds,Seven,Spades,Five,Nothing
Clubs,Six,Hearts,Queen,Hearts,Seven,Spades,King,Hearts,King,One_Pair
Diamonds,Ace,Hearts,Six,Spades,Eight,Hearts,Three,Diamonds,Jack,Nothing
Hearts,Five,Spades,Six,Diamonds,Jack,Hearts,Jack,Clubs,King,One_Pair
Hearts,Ace,Hearts,Three,Diamonds,Eight,Diamonds,Five,Spades,Eight,One_Pair
Clubs,Four,Spades,Three,Hearts,Ace,Hearts,Queen,Clubs,Ace,One_Pair
Clubs,Ace,Hearts,Ace,Diamonds,Two,Diamonds,Seven,Diamonds,King,One_Pair
Clubs,Three,Hearts,Four,Spades,Jack,Diamonds,Six,Hearts,Eight,Nothing
Hearts,Nine,Diamonds,Ten,Hearts,Ten,Clubs,Ace,Clubs,Seven,One_Pair
Spades,Jack,Clubs,Eight,Spades,Three,Diamonds,Nine,Clubs,Jack,One_Pair
Clubs,Jack,Diamonds,Ace,Clubs,Three,Clubs,Four,Clubs,Nine,Nothing
Hearts,King,Clubs,Four,Hearts,Ace,Clubs,Queen,Hearts,Jack,Nothing
Spades,King,Spades,Ten,Hearts,Nine,Diamonds,Ace,Diamonds,Eight,Nothing
Hearts,Jack,Diamonds,King,Clubs,King,Diamonds,Six,Clubs,Four,One_Pair
Clubs,Two,Spades,Ten,Clubs,Queen,Clubs,King,Diamonds,Nine,Nothing
Diamonds,Eight,Hearts,Ace,Spades,King,Spades,Eight,Hearts,Eight,Three_Kind
Diamonds,King,Spades,Nine,Spades,Queen,Spades,Jack,Spades,King,One_Pair
Hearts,Four,Hearts,Nine,Spades,King,Diamonds,Nine,Clubs,Five,One_Pair
Spades,Two,Clubs,Seven,Clubs,Nine,Clubs,Eight,Diamonds,Two,One_Pair
Hearts,Jack,Diamonds,Four,Spades,Four,Diamonds,Ten,Clubs,Two,One_Pair
Diamonds,Seven,Spades,Eight,Diamonds,Ten,Spades,Jack,Clubs,Ace,Nothing
Clubs,Nine,Hearts,Two,Spades,Three,Diamonds,Ten,Clubs,Three,One_Pair
Spades,Queen,Hearts,Two,Spades,Three,Spades,Two,Diamonds,Seven,One_Pair
Spades,Nine,Spades,Three,Clubs,Eight,Hearts,Six,Hearts,Two,Nothing
Diamonds,Queen,Clubs,King,Spades,Four,Hearts,Four,Diamonds,Five,One_Pair
Hearts,Two,Diamonds,Ace,Diamonds,Two,Diamonds,Six,Diamonds,Five,One_Pair
Clubs,King,Clubs,Two,Hearts,Queen,Hearts,Two,Hearts,Ace,One_Pair
Spades,Seven,Spades,Three,Hearts,Eight,Spades,Six,Spades,Ace,Nothing
Spades,Ace,Spades,King,Hearts,Six,Hearts,Jack,Hearts,Three,Nothing
Diamonds,Ace,Diamonds,Two,Hearts,Ten,Spades,Ace,Clubs,Six,One_Pair
Spades,Eight,Spades,Ten,Clubs,Ten,Hearts,Six,Spades,King,One_Pair
Clubs,Queen,Hearts,King,Hearts,Four,Spades,King,Spades,Nine,One_Pair
Clubs,Queen,Spades,Jack,Diamonds,Three,Clubs,Jack,Hearts,Three,Two_Pairs
Clubs,Queen,Spades,Two,Clubs,Ten,Diamonds,Two,Hearts,Queen,Two_Pairs
Hearts,Eight,Spades,Eight,Diamonds,Jack,Clubs,King,Hearts,Nine,One_Pair
Spades,Ten,Clubs,Four,Hearts,Four,Diamonds,Nine,Diamonds,Jack,One_Pair
Diamonds,Queen,Clubs,Seven,Spades,Seven,Diamonds,Jack,Hearts,Eight,One_Pair
Clubs,Ace,Spades,Five,Clubs,Jack,Hearts,Ace,Diamonds,Queen,One_Pair
Diamonds,Nine,Diamonds,Three,Clubs,Queen,Spades,Five,Spades,Seven,Nothing
Spades,Three,Spades,Six,Clubs,Eight,Diamonds,King,Diamonds,Seven,Nothing
Spades,Nine,Diamonds,King,Hearts,Jack,Diamonds,Three,Spades,Eight,Nothing
Hearts,King,Hearts,Nine,Spades,Two,Spades,Seven,Clubs,Four,Nothing
Diamonds,King,Hearts,Four,Diamonds,Ten,Spades,Six,Spades,Ace,Nothing
Diamonds,King,Spades,Four,Spades,Six,Clubs,Five,Diamonds,Ace,Nothing
Diamonds,Six,Hearts,Five,Hearts,Three,Spades,Three,Clubs,Nine,One_Pair
Diamonds,Three,Clubs,Eight,Clubs,Jack,Clubs,Ace,Clubs,Three,One_Pair
Spades,Jack,Diamonds,Two,Clubs,Five,Clubs,Queen,Diamonds,Six,Nothing
Clubs,Five,Spades,Eight,Diamonds,Ace,Diamonds,Three,Clubs,Two,Nothing
Spades,Queen,Spades,Ten,Clubs,Ace,Diamonds,Two,Diamonds,Eight,Nothing
Hearts,Four,Clubs,Jack,Clubs,Six,Spades,Ten,Spades,Ace,Nothing
Hearts,Seven,Spades,Four,Spades,Five,Diamonds,Nine,Spades,Eight,Nothing
Diamonds,Ace,Hearts,Nine,Spades,Ace,Diamonds,Ten,Spades,Two,One_Pair
Diamonds,Ten,Spades,Two,Hearts,Queen,Spades,Seven,Clubs,Four,Nothing
Spades,Three,Diamonds,Eight,Diamonds,Three,Hearts,Ten,Diamonds,Ace,One_Pair
Spades,Eight,Clubs,Four,Hearts,Six,Diamonds,Ten,Clubs,King,Nothing
Spades,King,Diamonds,Five,Hearts,Ten,Hearts,Eight,Hearts,King,One_Pair
Spades,Jack,Clubs,Ace,Diamonds,King,Hearts,Ten,Clubs,Eight,Nothing
Spades,Two,Hearts,Ten,Clubs,Eight,Hearts,Four,Diamonds,Five,Nothing
Diamonds,Ten,Diamonds,Jack,Clubs,Two,Hearts,Seven,Diamonds,Nine,Nothing
Diamonds,Five,Spades,Four,Clubs,Ten,Clubs,Jack,Hearts,Two,Nothing
Clubs,Five,Spades,Four,Diamonds,Ten,Clubs,Three,Hearts,Five,One_Pair
Hearts,Three,Clubs,King,Diamonds,Two,Hearts,Six,Spades,Three,One_Pair
Spades,Nine,Diamonds,Two,Spades,Ten,Clubs,Queen,Spades,Seven,Nothing
Hearts,Six,Diamonds,Nine,Spades,Six,Clubs,Five,Diamonds,Jack,One_Pair
Hearts,Five,Diamonds,Three,Hearts,Six,Clubs,Jack,Spades,Ten,Nothing
Diamonds,Eight,Hearts,King,Spades,Ace,Spades,Jack,Clubs,Jack,One_Pair
Spades,Ten,Clubs,Six,Clubs,Eight,Spades,Queen,Hearts,Seven,Nothing
Clubs,Six,Spades,Eight,Hearts,Ace,Diamonds,Seven,Spades,Six,One_Pair
Spades,Ace,Spades,Five,Clubs,King,Hearts,Nine,Spades,Ten,Nothing
Clubs,King,Hearts,Nine,Hearts,Queen,Spades,King,Diamonds,Three,One_Pair
Spades,Seven,Clubs,Seven,Diamonds,Six,Hearts,Three,Spades,Nine,One_Pair
Clubs,Ace,Spades,Jack,Diamonds,Two,Hearts,Three,Hearts,Six,Nothing
Hearts,King,Spades,Nine,Spades,Ace,Clubs,Ace,Diamonds,Ace,Three_Kind
Clubs,Nine,Hearts,Jack,Diamonds,Queen,Clubs,Queen,Clubs,Jack,Two_Pairs
Hearts,Ace,Clubs,Six,Diamonds,Jack,Diamonds,King,Clubs,Jack,One_Pair
Hearts,King,Spades,King,Clubs,Three,Spades,Six,Clubs,Four,One_Pair
Diamonds,Jack,Clubs,Jack,Diamonds,King,Clubs,King,Hearts,Seven,Two_Pairs
Clubs,Jack,Spades,Seven,Hearts,Seven,Spades,Two,Clubs,Seven,Three_Kind
Hearts,Four,Spades,King,Clubs,Four,Hearts,Queen,Clubs,Eight,One_Pair
Diamonds,Four,Spades,Ace,Clubs,Nine,Hearts,Jack,Clubs,Six,Nothing
Clubs,Two,Hearts,Ten,Diamonds,Two,Hearts,Three,Diamonds,Five,One_Pair
Spades,Five,Hearts,Eight,Spades,Ten,Clubs,Three,Spades,Ace,Nothing
Diamonds,Three,Spades,Three,Hearts,King,Hearts,Eight,Diamonds,Six,One_Pair
Spades,Five,Hearts,Ten,Clubs,King,Hearts,Five,Hearts,Eight,One_Pair
Clubs,Two,Hearts,Jack,Hearts,Two,Spades,Queen,Spades,Five,One_Pair
Hearts,Queen,Hearts,Three,Spades,Seven,Spades,Nine,Hearts,King,Nothing
Hearts,Ten,Spades,Five,Clubs,Seven,Clubs,Six,Clubs,Nine,Nothing
Hearts,Eight,Diamonds,Two,Spades,Four,Hearts,Queen,Hearts,Three,Nothing
Spades,Jack,Hearts,Ten,Diamonds,Nine,Spades,Five,Diamonds,Four,Nothing
Hearts,Three,Spades,Six,Clubs,Two,Spades,Ace,Clubs,Ace,One_Pair
Clubs,Four,Hearts,Five,Spades,Ten,Spades,Eight,Spades,King,Nothing
Diamonds,Jack,Clubs,Nine,Hearts,Nine,Clubs,Two,Spades,Ace,One_Pair
Diamonds,Three,Clubs,King,Clubs,Jack,Clubs,Three,Spades,Ace,One_Pair
Hearts,Five,Hearts,Six,Spades,King,Clubs,Four,Spades,Ace,Nothing
Diamonds,Three,Hearts,Ten,Diamonds,Jack,Spades,Ace,Clubs,Four,Nothing
Diamonds,Eight,Diamonds,Five,Clubs,King,Hearts,King,Clubs,Seven,One_Pair
Clubs,Jack,Clubs,Six,Hearts,Ten,Spades,Six,Hearts,Jack,Two_Pairs
Clubs,Two,Diamonds,Ten,Diamonds,Four,Clubs,Three,Diamonds,Nine,Nothing
Spades,Nine,Diamonds,Eight,Hearts,Ace,Clubs,Ace,Hearts,Jack,One_Pair
Clubs,Two,Hearts,Six,Clubs,Seven,Spades,Four,Diamonds,Two,One_Pair
Hearts,Seven,Hearts,Queen,Spades,Seven,Diamonds,Two,Diamonds,Queen,Two_Pairs
Hearts,Five,Spades,Queen,Hearts,Ten,Clubs,Seven,Diamonds,King,Nothing
Spades,Five,Clubs,Eight,Clubs,Six,Diamonds,Jack,Hearts,Five,One_Pair
Diamonds,Four,Diamonds,Six,Hearts,Five,Clubs,Ace,Hearts,Seven,Nothing
Hearts,Ten,Spades,Eight,Diamonds,Ace,Clubs,King,Diamonds,Three,Nothing
Spades,Jack,Spades,Ace,Hearts,Queen,Spades,Queen,Hearts,Four,One_Pair
Hearts,Eight,Clubs,King,Clubs,Two,Diamonds,Four,Diamonds,Three,Nothing
Spades,Five,Diamonds,King,Hearts,Eight,Spades,Seven,Clubs,Jack,Nothing
Spades,Eight,Spades,Ten,Spades,Six,Diamonds,Nine,Diamonds,Seven,Straight
Diamonds,Jack,Diamonds,Queen,Spades,Nine,Diamonds,Eight,Spades,Ten,Straight
Diamonds,Two,Clubs,Ten,Spades,Five,Diamonds,Nine,Clubs,Seven,Nothing
Clubs,Queen,Spades,Nine,Spades,Jack,Spades,Five,Clubs,Six,Nothing
Spades,Ten,Diamonds,Five,Spades,Six,Diamonds,Ten,Diamonds,Four,One_Pair
Hearts,Queen,Clubs,King,Diamonds,Nine,Hearts,Four,Clubs,Eight,Nothing
Spades,King,Hearts,King,Clubs,Ace,Diamonds,Seven,Clubs,Ten,One_Pair
Diamonds,Ten,Clubs,Six,Hearts,Four,Spades,King,Clubs,Five,Nothing
Clubs,Jack,Spades,Seven,Diamonds,Eight,Spades,Six,Diamonds,Six,One_Pair
Clubs,Nine,Diamonds,King,Spades,Six,Spades,Queen,Diamonds,Ace,Nothing
Spades,Nine,Hearts,Three,Spades,Three,Hearts,Four,Hearts,Six,One_Pair
Diamonds,Two,Clubs,Six,Spades,Six,Hearts,Seven,Hearts,Nine,One_Pair
Hearts,Two,Diamonds,Nine,Hearts,Nine,Spades,Jack,Hearts,Four,One_Pair
Spades,Two,Spades,Seven,Hearts,Jack,Spades,Four,Clubs,King,Nothing
Hearts,Nine,Clubs,Seven,Diamonds,Six,Clubs,Four,Diamonds,Three,Nothing
Spades,Nine,Spades,Two,Spades,Ten,Diamonds,Four,Hearts,Eight,Nothing
Hearts,Four,Clubs,Three,Hearts,Queen,Clubs,Four,Hearts,Jack,One_Pair
Hearts,Seven,Diamonds,Nine,Diamonds,Queen,Spades,Jack,Diamonds,Ten,Nothing
